"","DateTime","Load","hour","day"
"120",2023-01-05 23:00:00,933,"23",5
"121",2023-01-06,922,"0",6
"122",2023-01-06 01:00:00,926,"1",6
"123",2023-01-06 02:00:00,933,"2",6
"124",2023-01-06 03:00:00,964,"3",6
"125",2023-01-06 04:00:00,1044,"4",6
"126",2023-01-06 05:00:00,1125,"5",6
"127",2023-01-06 06:00:00,1205,"6",6
"128",2023-01-06 07:00:00,1250,"7",6
"129",2023-01-06 08:00:00,1282,"8",6
"130",2023-01-06 09:00:00,1287,"9",6
"131",2023-01-06 10:00:00,1292,"10",6
"132",2023-01-06 11:00:00,1302,"11",6
"133",2023-01-06 12:00:00,1280,"12",6
"134",2023-01-06 13:00:00,1279,"13",6
"135",2023-01-06 14:00:00,1293,"14",6
"136",2023-01-06 15:00:00,1292,"15",6
"137",2023-01-06 16:00:00,1264,"16",6
"138",2023-01-06 17:00:00,1229,"17",6
"139",2023-01-06 18:00:00,1206,"18",6
"140",2023-01-06 19:00:00,1164,"19",6
"141",2023-01-06 20:00:00,1106,"20",6
"142",2023-01-06 21:00:00,1039,"21",6
"143",2023-01-06 22:00:00,1035,"22",6
"144",2023-01-06 23:00:00,805,"23",6
"145",2023-01-07,793,"0",7
"146",2023-01-07 01:00:00,786,"1",7
"147",2023-01-07 02:00:00,796,"2",7
"148",2023-01-07 03:00:00,803,"3",7
"149",2023-01-07 04:00:00,805,"4",7
"150",2023-01-07 05:00:00,844,"5",7
"151",2023-01-07 06:00:00,894,"6",7
"152",2023-01-07 07:00:00,941,"7",7
"153",2023-01-07 08:00:00,978,"8",7
"154",2023-01-07 09:00:00,1000,"9",7
"155",2023-01-07 10:00:00,998,"10",7
"156",2023-01-07 11:00:00,1004,"11",7
"157",2023-01-07 12:00:00,1005,"12",7
"158",2023-01-07 13:00:00,1021,"13",7
"159",2023-01-07 14:00:00,1058,"14",7
"160",2023-01-07 15:00:00,1072,"15",7
"161",2023-01-07 16:00:00,1039,"16",7
"162",2023-01-07 17:00:00,990,"17",7
"163",2023-01-07 18:00:00,952,"18",7
"164",2023-01-07 19:00:00,921,"19",7
"165",2023-01-07 20:00:00,876,"20",7
"166",2023-01-07 21:00:00,871,"21",7
"167",2023-01-07 22:00:00,851,"22",7
"168",2023-01-07 23:00:00,844,"23",7
"169",2023-01-08,829,"0",8
"170",2023-01-08 01:00:00,818,"1",8
"171",2023-01-08 02:00:00,813,"2",8
"172",2023-01-08 03:00:00,817,"3",8
"173",2023-01-08 04:00:00,832,"4",8
"174",2023-01-08 05:00:00,855,"5",8
"175",2023-01-08 06:00:00,885,"6",8
"176",2023-01-08 07:00:00,917,"7",8
"177",2023-01-08 08:00:00,942,"8",8
"178",2023-01-08 09:00:00,965,"9",8
"179",2023-01-08 10:00:00,976,"10",8
"180",2023-01-08 11:00:00,982,"11",8
"181",2023-01-08 12:00:00,994,"12",8
"182",2023-01-08 13:00:00,1016,"13",8
"183",2023-01-08 14:00:00,1067,"14",8
"184",2023-01-08 15:00:00,1069,"15",8
"185",2023-01-08 16:00:00,1061,"16",8
"186",2023-01-08 17:00:00,1025,"17",8
"187",2023-01-08 18:00:00,1004,"18",8
"188",2023-01-08 19:00:00,986,"19",8
"189",2023-01-08 20:00:00,952,"20",8
"190",2023-01-08 21:00:00,904,"21",8
"191",2023-01-08 22:00:00,870,"22",8
"192",2023-01-08 23:00:00,1005,"23",8
"193",2023-01-09,992,"0",9
"194",2023-01-09 01:00:00,992,"1",9
"195",2023-01-09 02:00:00,992,"2",9
"196",2023-01-09 03:00:00,1013,"3",9
"197",2023-01-09 04:00:00,1095,"4",9
"198",2023-01-09 05:00:00,1186,"5",9
"199",2023-01-09 06:00:00,1259,"6",9
"200",2023-01-09 07:00:00,1312,"7",9
"201",2023-01-09 08:00:00,1332,"8",9
"202",2023-01-09 09:00:00,1330,"9",9
"203",2023-01-09 10:00:00,1324,"10",9
"204",2023-01-09 11:00:00,1323,"11",9
"205",2023-01-09 12:00:00,1307,"12",9
"206",2023-01-09 13:00:00,1313,"13",9
"207",2023-01-09 14:00:00,1329,"14",9
"208",2023-01-09 15:00:00,1328,"15",9
"209",2023-01-09 16:00:00,1314,"16",9
"210",2023-01-09 17:00:00,1287,"17",9
"211",2023-01-09 18:00:00,1253,"18",9
"212",2023-01-09 19:00:00,1223,"19",9
"213",2023-01-09 20:00:00,1169,"20",9
"214",2023-01-09 21:00:00,1096,"21",9
"215",2023-01-09 22:00:00,1059,"22",9
"216",2023-01-09 23:00:00,998,"23",9
"217",2023-01-10,995,"0",10
"218",2023-01-10 01:00:00,970,"1",10
"219",2023-01-10 02:00:00,974,"2",10
"220",2023-01-10 03:00:00,999,"3",10
"221",2023-01-10 04:00:00,1073,"4",10
"222",2023-01-10 05:00:00,1172,"5",10
"223",2023-01-10 06:00:00,1264,"6",10
"224",2023-01-10 07:00:00,1297,"7",10
"225",2023-01-10 08:00:00,1298,"8",10
"226",2023-01-10 09:00:00,1306,"9",10
"227",2023-01-10 10:00:00,1303,"10",10
"228",2023-01-10 11:00:00,1307,"11",10
"229",2023-01-10 12:00:00,1300,"12",10
"230",2023-01-10 13:00:00,1297,"13",10
"231",2023-01-10 14:00:00,1305,"14",10
"232",2023-01-10 15:00:00,1288,"15",10
"233",2023-01-10 16:00:00,1264,"16",10
"234",2023-01-10 17:00:00,1228,"17",10
"235",2023-01-10 18:00:00,1189,"18",10
"236",2023-01-10 19:00:00,1150,"19",10
"237",2023-01-10 20:00:00,1092,"20",10
"238",2023-01-10 21:00:00,1026,"21",10
"239",2023-01-10 22:00:00,992,"22",10
"240",2023-01-10 23:00:00,1024,"23",10
"241",2023-01-11,1010,"0",11
"242",2023-01-11 01:00:00,1004,"1",11
"243",2023-01-11 02:00:00,992,"2",11
"244",2023-01-11 03:00:00,1021,"3",11
"245",2023-01-11 04:00:00,1113,"4",11
"246",2023-01-11 05:00:00,1211,"5",11
"247",2023-01-11 06:00:00,1301,"6",11
"248",2023-01-11 07:00:00,1337,"7",11
"249",2023-01-11 08:00:00,1333,"8",11
"250",2023-01-11 09:00:00,1320,"9",11
"251",2023-01-11 10:00:00,1295,"10",11
"252",2023-01-11 11:00:00,1302,"11",11
"253",2023-01-11 12:00:00,1282,"12",11
"254",2023-01-11 13:00:00,1276,"13",11
"255",2023-01-11 14:00:00,1271,"14",11
"256",2023-01-11 15:00:00,1256,"15",11
"257",2023-01-11 16:00:00,1226,"16",11
"258",2023-01-11 17:00:00,1194,"17",11
"259",2023-01-11 18:00:00,1156,"18",11
"260",2023-01-11 19:00:00,1113,"19",11
"261",2023-01-11 20:00:00,1060,"20",11
"262",2023-01-11 21:00:00,989,"21",11
"263",2023-01-11 22:00:00,1139,"22",11
"264",2023-01-11 23:00:00,940,"23",11
"265",2023-01-12,936,"0",12
"266",2023-01-12 01:00:00,926,"1",12
"267",2023-01-12 02:00:00,935,"2",12
"268",2023-01-12 03:00:00,965,"3",12
"269",2023-01-12 04:00:00,1052,"4",12
"270",2023-01-12 05:00:00,1149,"5",12
"271",2023-01-12 06:00:00,1245,"6",12
"272",2023-01-12 07:00:00,1279,"7",12
"273",2023-01-12 08:00:00,1301,"8",12
"274",2023-01-12 09:00:00,1305,"9",12
"275",2023-01-12 10:00:00,1295,"10",12
"276",2023-01-12 11:00:00,1306,"11",12
"277",2023-01-12 12:00:00,1303,"12",12
"278",2023-01-12 13:00:00,1298,"13",12
"279",2023-01-12 14:00:00,1297,"14",12
"280",2023-01-12 15:00:00,1278,"15",12
"281",2023-01-12 16:00:00,1248,"16",12
"282",2023-01-12 17:00:00,1228,"17",12
"283",2023-01-12 18:00:00,1190,"18",12
"284",2023-01-12 19:00:00,1150,"19",12
"285",2023-01-12 20:00:00,1081,"20",12
"286",2023-01-12 21:00:00,1019,"21",12
"287",2023-01-12 22:00:00,995,"22",12
"288",2023-01-12 23:00:00,920,"23",12
"289",2023-01-13,915,"0",13
"290",2023-01-13 01:00:00,903,"1",13
"291",2023-01-13 02:00:00,909,"2",13
"292",2023-01-13 03:00:00,936,"3",13
"293",2023-01-13 04:00:00,1027,"4",13
"294",2023-01-13 05:00:00,1114,"5",13
"295",2023-01-13 06:00:00,1211,"6",13
"296",2023-01-13 07:00:00,1247,"7",13
"297",2023-01-13 08:00:00,1261,"8",13
"298",2023-01-13 09:00:00,1259,"9",13
"299",2023-01-13 10:00:00,1252,"10",13
"300",2023-01-13 11:00:00,1264,"11",13
"301",2023-01-13 12:00:00,1253,"12",13
"302",2023-01-13 13:00:00,1251,"13",13
"303",2023-01-13 14:00:00,1254,"14",13
"304",2023-01-13 15:00:00,1246,"15",13
"305",2023-01-13 16:00:00,1216,"16",13
"306",2023-01-13 17:00:00,1183,"17",13
"307",2023-01-13 18:00:00,1154,"18",13
"308",2023-01-13 19:00:00,1112,"19",13
"309",2023-01-13 20:00:00,1052,"20",13
"310",2023-01-13 21:00:00,981,"21",13
"311",2023-01-13 22:00:00,952,"22",13
"312",2023-01-13 23:00:00,1023,"23",13
"313",2023-01-14,1010,"0",14
"314",2023-01-14 01:00:00,1008,"1",14
"315",2023-01-14 02:00:00,1011,"2",14
"316",2023-01-14 03:00:00,1034,"3",14
"317",2023-01-14 04:00:00,1075,"4",14
"318",2023-01-14 05:00:00,1104,"5",14
"319",2023-01-14 06:00:00,1165,"6",14
"320",2023-01-14 07:00:00,1218,"7",14
"321",2023-01-14 08:00:00,1258,"8",14
"322",2023-01-14 09:00:00,1270,"9",14
"323",2023-01-14 10:00:00,1268,"10",14
"324",2023-01-14 11:00:00,1277,"11",14
"325",2023-01-14 12:00:00,1271,"12",14
"326",2023-01-14 13:00:00,1281,"13",14
"327",2023-01-14 14:00:00,1307,"14",14
"328",2023-01-14 15:00:00,1323,"15",14
"329",2023-01-14 16:00:00,1301,"16",14
"330",2023-01-14 17:00:00,1265,"17",14
"331",2023-01-14 18:00:00,1229,"18",14
"332",2023-01-14 19:00:00,1190,"19",14
"333",2023-01-14 20:00:00,1143,"20",14
"334",2023-01-14 21:00:00,1099,"21",14
"335",2023-01-14 22:00:00,1061,"22",14
"336",2023-01-14 23:00:00,1043,"23",14
"337",2023-01-15,1026,"0",15
"338",2023-01-15 01:00:00,1016,"1",15
"339",2023-01-15 02:00:00,1011,"2",15
"340",2023-01-15 03:00:00,1022,"3",15
"341",2023-01-15 04:00:00,1033,"4",15
"342",2023-01-15 05:00:00,1071,"5",15
"343",2023-01-15 06:00:00,1112,"6",15
"344",2023-01-15 07:00:00,1143,"7",15
"345",2023-01-15 08:00:00,1173,"8",15
"346",2023-01-15 09:00:00,1177,"9",15
"347",2023-01-15 10:00:00,1176,"10",15
"348",2023-01-15 11:00:00,1183,"11",15
"349",2023-01-15 12:00:00,1181,"12",15
"350",2023-01-15 13:00:00,1196,"13",15
"351",2023-01-15 14:00:00,1243,"14",15
"352",2023-01-15 15:00:00,1274,"15",15
"353",2023-01-15 16:00:00,1264,"16",15
"354",2023-01-15 17:00:00,1234,"17",15
"355",2023-01-15 18:00:00,1199,"18",15
"356",2023-01-15 19:00:00,1153,"19",15
"357",2023-01-15 20:00:00,1096,"20",15
"358",2023-01-15 21:00:00,1044,"21",15
"359",2023-01-15 22:00:00,1008,"22",15
"360",2023-01-15 23:00:00,943,"23",15
"361",2023-01-16,935,"0",16
"362",2023-01-16 01:00:00,931,"1",16
"363",2023-01-16 02:00:00,926,"2",16
"364",2023-01-16 03:00:00,950,"3",16
"365",2023-01-16 04:00:00,1031,"4",16
"366",2023-01-16 05:00:00,1116,"5",16
"367",2023-01-16 06:00:00,1204,"6",16
"368",2023-01-16 07:00:00,1247,"7",16
"369",2023-01-16 08:00:00,1256,"8",16
"370",2023-01-16 09:00:00,1251,"9",16
"371",2023-01-16 10:00:00,1243,"10",16
"372",2023-01-16 11:00:00,1255,"11",16
"373",2023-01-16 12:00:00,1244,"12",16
"374",2023-01-16 13:00:00,1242,"13",16
"375",2023-01-16 14:00:00,1248,"14",16
"376",2023-01-16 15:00:00,1236,"15",16
"377",2023-01-16 16:00:00,1206,"16",16
"378",2023-01-16 17:00:00,1164,"17",16
"379",2023-01-16 18:00:00,1134,"18",16
"380",2023-01-16 19:00:00,1099,"19",16
"381",2023-01-16 20:00:00,1056,"20",16
"382",2023-01-16 21:00:00,993,"21",16
"383",2023-01-16 22:00:00,961,"22",16
"384",2023-01-16 23:00:00,872,"23",16
"385",2023-01-17,858,"0",17
"386",2023-01-17 01:00:00,852,"1",17
"387",2023-01-17 02:00:00,862,"2",17
"388",2023-01-17 03:00:00,891,"3",17
"389",2023-01-17 04:00:00,997,"4",17
"390",2023-01-17 05:00:00,1107,"5",17
"391",2023-01-17 06:00:00,1197,"6",17
"392",2023-01-17 07:00:00,1228,"7",17
"393",2023-01-17 08:00:00,1236,"8",17
"394",2023-01-17 09:00:00,1229,"9",17
"395",2023-01-17 10:00:00,1224,"10",17
"396",2023-01-17 11:00:00,1228,"11",17
"397",2023-01-17 12:00:00,1216,"12",17
"398",2023-01-17 13:00:00,1210,"13",17
"399",2023-01-17 14:00:00,1207,"14",17
"400",2023-01-17 15:00:00,1204,"15",17
"401",2023-01-17 16:00:00,1174,"16",17
"402",2023-01-17 17:00:00,1152,"17",17
"403",2023-01-17 18:00:00,1120,"18",17
"404",2023-01-17 19:00:00,1076,"19",17
"405",2023-01-17 20:00:00,1017,"20",17
"406",2023-01-17 21:00:00,952,"21",17
"407",2023-01-17 22:00:00,920,"22",17
"408",2023-01-17 23:00:00,912,"23",17
"409",2023-01-18,909,"0",18
"410",2023-01-18 01:00:00,914,"1",18
"411",2023-01-18 02:00:00,911,"2",18
"412",2023-01-18 03:00:00,952,"3",18
"413",2023-01-18 04:00:00,1050,"4",18
"414",2023-01-18 05:00:00,1154,"5",18
"415",2023-01-18 06:00:00,1246,"6",18
"416",2023-01-18 07:00:00,1279,"7",18
"417",2023-01-18 08:00:00,1288,"8",18
"418",2023-01-18 09:00:00,1276,"9",18
"419",2023-01-18 10:00:00,1271,"10",18
"420",2023-01-18 11:00:00,1288,"11",18
"421",2023-01-18 12:00:00,1272,"12",18
"422",2023-01-18 13:00:00,1263,"13",18
"423",2023-01-18 14:00:00,1254,"14",18
"424",2023-01-18 15:00:00,1242,"15",18
"425",2023-01-18 16:00:00,1204,"16",18
"426",2023-01-18 17:00:00,1172,"17",18
"427",2023-01-18 18:00:00,1138,"18",18
"428",2023-01-18 19:00:00,1089,"19",18
"429",2023-01-18 20:00:00,1024,"20",18
"430",2023-01-18 21:00:00,951,"21",18
"431",2023-01-18 22:00:00,912,"22",18
"432",2023-01-18 23:00:00,911,"23",18
"433",2023-01-19,902,"0",19
"434",2023-01-19 01:00:00,893,"1",19
"435",2023-01-19 02:00:00,897,"2",19
"436",2023-01-19 03:00:00,925,"3",19
"437",2023-01-19 04:00:00,1034,"4",19
"438",2023-01-19 05:00:00,1162,"5",19
"439",2023-01-19 06:00:00,1255,"6",19
"440",2023-01-19 07:00:00,1269,"7",19
"441",2023-01-19 08:00:00,1283,"8",19
"442",2023-01-19 09:00:00,1281,"9",19
"443",2023-01-19 10:00:00,1260,"10",19
"444",2023-01-19 11:00:00,1280,"11",19
"445",2023-01-19 12:00:00,1261,"12",19
"446",2023-01-19 13:00:00,1251,"13",19
"447",2023-01-19 14:00:00,1264,"14",19
"448",2023-01-19 15:00:00,1262,"15",19
"449",2023-01-19 16:00:00,1226,"16",19
"450",2023-01-19 17:00:00,1186,"17",19
"451",2023-01-19 18:00:00,1158,"18",19
"452",2023-01-19 19:00:00,1103,"19",19
"453",2023-01-19 20:00:00,1037,"20",19
"454",2023-01-19 21:00:00,967,"21",19
"455",2023-01-19 22:00:00,927,"22",19
"456",2023-01-19 23:00:00,902,"23",19
"457",2023-01-20,885,"0",20
"458",2023-01-20 01:00:00,880,"1",20
"459",2023-01-20 02:00:00,890,"2",20
"460",2023-01-20 03:00:00,929,"3",20
"461",2023-01-20 04:00:00,1043,"4",20
"462",2023-01-20 05:00:00,1163,"5",20
"463",2023-01-20 06:00:00,1264,"6",20
"464",2023-01-20 07:00:00,1284,"7",20
"465",2023-01-20 08:00:00,1274,"8",20
"466",2023-01-20 09:00:00,1262,"9",20
"467",2023-01-20 10:00:00,1244,"10",20
"468",2023-01-20 11:00:00,1259,"11",20
"469",2023-01-20 12:00:00,1240,"12",20
"470",2023-01-20 13:00:00,1246,"13",20
"471",2023-01-20 14:00:00,1254,"14",20
"472",2023-01-20 15:00:00,1254,"15",20
"473",2023-01-20 16:00:00,1228,"16",20
"474",2023-01-20 17:00:00,1187,"17",20
"475",2023-01-20 18:00:00,1154,"18",20
"476",2023-01-20 19:00:00,1114,"19",20
"477",2023-01-20 20:00:00,1050,"20",20
"478",2023-01-20 21:00:00,987,"21",20
"479",2023-01-20 22:00:00,1121,"22",20
"480",2023-01-20 23:00:00,912,"23",20
"481",2023-01-21,912,"0",21
"482",2023-01-21 01:00:00,906,"1",21
"483",2023-01-21 02:00:00,906,"2",21
"484",2023-01-21 03:00:00,921,"3",21
"485",2023-01-21 04:00:00,953,"4",21
"486",2023-01-21 05:00:00,993,"5",21
"487",2023-01-21 06:00:00,1027,"6",21
"488",2023-01-21 07:00:00,1066,"7",21
"489",2023-01-21 08:00:00,1104,"8",21
"490",2023-01-21 09:00:00,1111,"9",21
"491",2023-01-21 10:00:00,1110,"10",21
"492",2023-01-21 11:00:00,1111,"11",21
"493",2023-01-21 12:00:00,1111,"12",21
"494",2023-01-21 13:00:00,1112,"13",21
"495",2023-01-21 14:00:00,1132,"14",21
"496",2023-01-21 15:00:00,1147,"15",21
"497",2023-01-21 16:00:00,1130,"16",21
"498",2023-01-21 17:00:00,1104,"17",21
"499",2023-01-21 18:00:00,1069,"18",21
"500",2023-01-21 19:00:00,1044,"19",21
"501",2023-01-21 20:00:00,1000,"20",21
"502",2023-01-21 21:00:00,958,"21",21
"503",2023-01-21 22:00:00,938,"22",21
"504",2023-01-21 23:00:00,888,"23",21
"505",2023-01-22,874,"0",22
"506",2023-01-22 01:00:00,864,"1",22
"507",2023-01-22 02:00:00,871,"2",22
"508",2023-01-22 03:00:00,882,"3",22
"509",2023-01-22 04:00:00,917,"4",22
"510",2023-01-22 05:00:00,956,"5",22
"511",2023-01-22 06:00:00,988,"6",22
"512",2023-01-22 07:00:00,1024,"7",22
"513",2023-01-22 08:00:00,1068,"8",22
"514",2023-01-22 09:00:00,1075,"9",22
"515",2023-01-22 10:00:00,1087,"10",22
"516",2023-01-22 11:00:00,1087,"11",22
"517",2023-01-22 12:00:00,1086,"12",22
"518",2023-01-22 13:00:00,1093,"13",22
"519",2023-01-22 14:00:00,1124,"14",22
"520",2023-01-22 15:00:00,1139,"15",22
"521",2023-01-22 16:00:00,1128,"16",22
"522",2023-01-22 17:00:00,1100,"17",22
"523",2023-01-22 18:00:00,1073,"18",22
"524",2023-01-22 19:00:00,1036,"19",22
"525",2023-01-22 20:00:00,979,"20",22
"526",2023-01-22 21:00:00,928,"21",22
"527",2023-01-22 22:00:00,909,"22",22
"528",2023-01-22 23:00:00,935,"23",22
"529",2023-01-23,914,"0",23
"530",2023-01-23 01:00:00,903,"1",23
"531",2023-01-23 02:00:00,894,"2",23
"532",2023-01-23 03:00:00,925,"3",23
"533",2023-01-23 04:00:00,1034,"4",23
"534",2023-01-23 05:00:00,1165,"5",23
"535",2023-01-23 06:00:00,1259,"6",23
"536",2023-01-23 07:00:00,1290,"7",23
"537",2023-01-23 08:00:00,1271,"8",23
"538",2023-01-23 09:00:00,1262,"9",23
"539",2023-01-23 10:00:00,1251,"10",23
