MTU (UTC),DateTime,Generation - Solar [MW] Day Ahead/ BZN|EE,Generation - Solar [MW] Intraday / BZN|EE,Generation - Solar [MW] Current / BZN|EE,Generation - Wind Offshore [MW] Day Ahead/ BZN|EE,Generation - Wind Offshore [MW] Intraday / BZN|EE,Generation - Wind Offshore [MW] Current / BZN|EE,Generation - Wind Onshore [MW] Day Ahead/ BZN|EE,Generation - Wind Onshore [MW] Intraday / BZN|EE,Generation - Wind Onshore [MW] Current / BZN|EE
01.01.2024 00:00 - 01.01.2024 01:00,01.01.2024 00:00,0,n/e,n/e,n/e,n/e,n/e,27,n/e,n/e
01.01.2024 01:00 - 01.01.2024 02:00,01.01.2024 01:00,0,n/e,n/e,n/e,n/e,n/e,32,n/e,n/e
01.01.2024 02:00 - 01.01.2024 03:00,01.01.2024 02:00,0,n/e,n/e,n/e,n/e,n/e,37,n/e,n/e
01.01.2024 03:00 - 01.01.2024 04:00,01.01.2024 03:00,0,n/e,n/e,n/e,n/e,n/e,42,n/e,n/e
01.01.2024 04:00 - 01.01.2024 05:00,01.01.2024 04:00,0,n/e,n/e,n/e,n/e,n/e,48,n/e,n/e
01.01.2024 05:00 - 01.01.2024 06:00,01.01.2024 05:00,0,n/e,n/e,n/e,n/e,n/e,57,n/e,n/e
01.01.2024 06:00 - 01.01.2024 07:00,01.01.2024 06:00,0,n/e,n/e,n/e,n/e,n/e,64,n/e,n/e
01.01.2024 07:00 - 01.01.2024 08:00,01.01.2024 07:00,3,n/e,n/e,n/e,n/e,n/e,72,n/e,n/e
01.01.2024 08:00 - 01.01.2024 09:00,01.01.2024 08:00,9,n/e,n/e,n/e,n/e,n/e,79,n/e,n/e
01.01.2024 09:00 - 01.01.2024 10:00,01.01.2024 09:00,15,n/e,n/e,n/e,n/e,n/e,83,n/e,n/e
01.01.2024 10:00 - 01.01.2024 11:00,01.01.2024 10:00,18,n/e,n/e,n/e,n/e,n/e,87,n/e,n/e
01.01.2024 11:00 - 01.01.2024 12:00,01.01.2024 11:00,15,n/e,n/e,n/e,n/e,n/e,96,n/e,n/e
01.01.2024 12:00 - 01.01.2024 13:00,01.01.2024 12:00,8,n/e,n/e,n/e,n/e,n/e,108,n/e,n/e
01.01.2024 13:00 - 01.01.2024 14:00,01.01.2024 13:00,2,n/e,n/e,n/e,n/e,n/e,121,n/e,n/e
01.01.2024 14:00 - 01.01.2024 15:00,01.01.2024 14:00,0,n/e,n/e,n/e,n/e,n/e,131,n/e,n/e
01.01.2024 15:00 - 01.01.2024 16:00,01.01.2024 15:00,0,n/e,n/e,n/e,n/e,n/e,136,n/e,n/e
01.01.2024 16:00 - 01.01.2024 17:00,01.01.2024 16:00,0,n/e,n/e,n/e,n/e,n/e,141,n/e,n/e
01.01.2024 17:00 - 01.01.2024 18:00,01.01.2024 17:00,0,n/e,n/e,n/e,n/e,n/e,146,n/e,n/e
01.01.2024 18:00 - 01.01.2024 19:00,01.01.2024 18:00,0,n/e,n/e,n/e,n/e,n/e,143,n/e,n/e
01.01.2024 19:00 - 01.01.2024 20:00,01.01.2024 19:00,0,n/e,n/e,n/e,n/e,n/e,143,n/e,n/e
01.01.2024 20:00 - 01.01.2024 21:00,01.01.2024 20:00,0,n/e,n/e,n/e,n/e,n/e,147,n/e,n/e
01.01.2024 21:00 - 01.01.2024 22:00,01.01.2024 21:00,0,n/e,n/e,n/e,n/e,n/e,145,n/e,n/e
01.01.2024 22:00 - 01.01.2024 23:00,01.01.2024 22:00,0,n/e,n/e,n/e,n/e,n/e,143,n/e,n/e
01.01.2024 23:00 - 02.01.2024 00:00,01.01.2024 23:00,0,n/e,n/e,n/e,n/e,n/e,129,n/e,n/e
02.01.2024 00:00 - 02.01.2024 01:00,02.01.2024 00:00,0,n/e,n/e,n/e,n/e,n/e,127,n/e,n/e
02.01.2024 01:00 - 02.01.2024 02:00,02.01.2024 01:00,0,n/e,n/e,n/e,n/e,n/e,129,n/e,n/e
02.01.2024 02:00 - 02.01.2024 03:00,02.01.2024 02:00,0,n/e,n/e,n/e,n/e,n/e,130,n/e,n/e
02.01.2024 03:00 - 02.01.2024 04:00,02.01.2024 03:00,0,n/e,n/e,n/e,n/e,n/e,131,n/e,n/e
02.01.2024 04:00 - 02.01.2024 05:00,02.01.2024 04:00,0,n/e,n/e,n/e,n/e,n/e,135,n/e,n/e
02.01.2024 05:00 - 02.01.2024 06:00,02.01.2024 05:00,0,n/e,n/e,n/e,n/e,n/e,129,n/e,n/e
02.01.2024 06:00 - 02.01.2024 07:00,02.01.2024 06:00,0,n/e,n/e,n/e,n/e,n/e,128,n/e,n/e
02.01.2024 07:00 - 02.01.2024 08:00,02.01.2024 07:00,2,n/e,n/e,n/e,n/e,n/e,127,n/e,n/e
02.01.2024 08:00 - 02.01.2024 09:00,02.01.2024 08:00,8,n/e,n/e,n/e,n/e,n/e,123,n/e,n/e
02.01.2024 09:00 - 02.01.2024 10:00,02.01.2024 09:00,14,n/e,n/e,n/e,n/e,n/e,116,n/e,n/e
02.01.2024 10:00 - 02.01.2024 11:00,02.01.2024 10:00,17,n/e,n/e,n/e,n/e,n/e,108,n/e,n/e
02.01.2024 11:00 - 02.01.2024 12:00,02.01.2024 11:00,14,n/e,n/e,n/e,n/e,n/e,106,n/e,n/e
02.01.2024 12:00 - 02.01.2024 13:00,02.01.2024 12:00,8,n/e,n/e,n/e,n/e,n/e,108,n/e,n/e
02.01.2024 13:00 - 02.01.2024 14:00,02.01.2024 13:00,2,n/e,n/e,n/e,n/e,n/e,114,n/e,n/e
02.01.2024 14:00 - 02.01.2024 15:00,02.01.2024 14:00,0,n/e,n/e,n/e,n/e,n/e,119,n/e,n/e
02.01.2024 15:00 - 02.01.2024 16:00,02.01.2024 15:00,0,n/e,n/e,n/e,n/e,n/e,120,n/e,n/e
02.01.2024 16:00 - 02.01.2024 17:00,02.01.2024 16:00,0,n/e,n/e,n/e,n/e,n/e,120,n/e,n/e
02.01.2024 17:00 - 02.01.2024 18:00,02.01.2024 17:00,0,n/e,n/e,n/e,n/e,n/e,120,n/e,n/e
02.01.2024 18:00 - 02.01.2024 19:00,02.01.2024 18:00,0,n/e,n/e,n/e,n/e,n/e,120,n/e,n/e
02.01.2024 19:00 - 02.01.2024 20:00,02.01.2024 19:00,0,n/e,n/e,n/e,n/e,n/e,116,n/e,n/e
02.01.2024 20:00 - 02.01.2024 21:00,02.01.2024 20:00,0,n/e,n/e,n/e,n/e,n/e,118,n/e,n/e
02.01.2024 21:00 - 02.01.2024 22:00,02.01.2024 21:00,0,n/e,n/e,n/e,n/e,n/e,116,n/e,n/e
02.01.2024 22:00 - 02.01.2024 23:00,02.01.2024 22:00,0,n/e,n/e,n/e,n/e,n/e,112,n/e,n/e
02.01.2024 23:00 - 03.01.2024 00:00,02.01.2024 23:00,0,n/e,n/e,n/e,n/e,n/e,131,n/e,n/e
03.01.2024 00:00 - 03.01.2024 01:00,03.01.2024 00:00,0,n/e,n/e,n/e,n/e,n/e,138,n/e,n/e
03.01.2024 01:00 - 03.01.2024 02:00,03.01.2024 01:00,0,n/e,n/e,n/e,n/e,n/e,141,n/e,n/e
03.01.2024 02:00 - 03.01.2024 03:00,03.01.2024 02:00,0,n/e,n/e,n/e,n/e,n/e,143,n/e,n/e
03.01.2024 03:00 - 03.01.2024 04:00,03.01.2024 03:00,0,n/e,n/e,n/e,n/e,n/e,145,n/e,n/e
03.01.2024 04:00 - 03.01.2024 05:00,03.01.2024 04:00,0,n/e,n/e,n/e,n/e,n/e,142,n/e,n/e
03.01.2024 05:00 - 03.01.2024 06:00,03.01.2024 05:00,0,n/e,n/e,n/e,n/e,n/e,140,n/e,n/e
03.01.2024 06:00 - 03.01.2024 07:00,03.01.2024 06:00,0,n/e,n/e,n/e,n/e,n/e,142,n/e,n/e
03.01.2024 07:00 - 03.01.2024 08:00,03.01.2024 07:00,1,n/e,n/e,n/e,n/e,n/e,142,n/e,n/e
03.01.2024 08:00 - 03.01.2024 09:00,03.01.2024 08:00,19,n/e,n/e,n/e,n/e,n/e,144,n/e,n/e
03.01.2024 09:00 - 03.01.2024 10:00,03.01.2024 09:00,37,n/e,n/e,n/e,n/e,n/e,145,n/e,n/e
03.01.2024 10:00 - 03.01.2024 11:00,03.01.2024 10:00,43,n/e,n/e,n/e,n/e,n/e,153,n/e,n/e
03.01.2024 11:00 - 03.01.2024 12:00,03.01.2024 11:00,35,n/e,n/e,n/e,n/e,n/e,152,n/e,n/e
03.01.2024 12:00 - 03.01.2024 13:00,03.01.2024 12:00,18,n/e,n/e,n/e,n/e,n/e,158,n/e,n/e
03.01.2024 13:00 - 03.01.2024 14:00,03.01.2024 13:00,1,n/e,n/e,n/e,n/e,n/e,165,n/e,n/e
03.01.2024 14:00 - 03.01.2024 15:00,03.01.2024 14:00,0,n/e,n/e,n/e,n/e,n/e,171,n/e,n/e
03.01.2024 15:00 - 03.01.2024 16:00,03.01.2024 15:00,0,n/e,n/e,n/e,n/e,n/e,184,n/e,n/e
03.01.2024 16:00 - 03.01.2024 17:00,03.01.2024 16:00,0,n/e,n/e,n/e,n/e,n/e,177,n/e,n/e
03.01.2024 17:00 - 03.01.2024 18:00,03.01.2024 17:00,0,n/e,n/e,n/e,n/e,n/e,174,n/e,n/e
03.01.2024 18:00 - 03.01.2024 19:00,03.01.2024 18:00,0,n/e,n/e,n/e,n/e,n/e,171,n/e,n/e
03.01.2024 19:00 - 03.01.2024 20:00,03.01.2024 19:00,0,n/e,n/e,n/e,n/e,n/e,167,n/e,n/e
03.01.2024 20:00 - 03.01.2024 21:00,03.01.2024 20:00,0,n/e,n/e,n/e,n/e,n/e,170,n/e,n/e
03.01.2024 21:00 - 03.01.2024 22:00,03.01.2024 21:00,0,n/e,n/e,n/e,n/e,n/e,165,n/e,n/e
03.01.2024 22:00 - 03.01.2024 23:00,03.01.2024 22:00,0,n/e,n/e,n/e,n/e,n/e,153,n/e,n/e
03.01.2024 23:00 - 04.01.2024 00:00,03.01.2024 23:00,0,n/e,n/e,n/e,n/e,n/e,174,n/e,n/e
04.01.2024 00:00 - 04.01.2024 01:00,04.01.2024 00:00,0,n/e,n/e,n/e,n/e,n/e,175,n/e,n/e
04.01.2024 01:00 - 04.01.2024 02:00,04.01.2024 01:00,0,n/e,n/e,n/e,n/e,n/e,176,n/e,n/e
04.01.2024 02:00 - 04.01.2024 03:00,04.01.2024 02:00,0,n/e,n/e,n/e,n/e,n/e,176,n/e,n/e
04.01.2024 03:00 - 04.01.2024 04:00,04.01.2024 03:00,0,n/e,n/e,n/e,n/e,n/e,175,n/e,n/e
04.01.2024 04:00 - 04.01.2024 05:00,04.01.2024 04:00,0,n/e,n/e,n/e,n/e,n/e,177,n/e,n/e
04.01.2024 05:00 - 04.01.2024 06:00,04.01.2024 05:00,0,n/e,n/e,n/e,n/e,n/e,165,n/e,n/e
04.01.2024 06:00 - 04.01.2024 07:00,04.01.2024 06:00,0,n/e,n/e,n/e,n/e,n/e,172,n/e,n/e
04.01.2024 07:00 - 04.01.2024 08:00,04.01.2024 07:00,1,n/e,n/e,n/e,n/e,n/e,165,n/e,n/e
04.01.2024 08:00 - 04.01.2024 09:00,04.01.2024 08:00,4,n/e,n/e,n/e,n/e,n/e,163,n/e,n/e
04.01.2024 09:00 - 04.01.2024 10:00,04.01.2024 09:00,7,n/e,n/e,n/e,n/e,n/e,158,n/e,n/e
04.01.2024 10:00 - 04.01.2024 11:00,04.01.2024 10:00,8,n/e,n/e,n/e,n/e,n/e,155,n/e,n/e
04.01.2024 11:00 - 04.01.2024 12:00,04.01.2024 11:00,6,n/e,n/e,n/e,n/e,n/e,155,n/e,n/e
04.01.2024 12:00 - 04.01.2024 13:00,04.01.2024 12:00,3,n/e,n/e,n/e,n/e,n/e,160,n/e,n/e
04.01.2024 13:00 - 04.01.2024 14:00,04.01.2024 13:00,1,n/e,n/e,n/e,n/e,n/e,166,n/e,n/e
04.01.2024 14:00 - 04.01.2024 15:00,04.01.2024 14:00,0,n/e,n/e,n/e,n/e,n/e,171,n/e,n/e
04.01.2024 15:00 - 04.01.2024 16:00,04.01.2024 15:00,0,n/e,n/e,n/e,n/e,n/e,182,n/e,n/e
04.01.2024 16:00 - 04.01.2024 17:00,04.01.2024 16:00,0,n/e,n/e,n/e,n/e,n/e,182,n/e,n/e
04.01.2024 17:00 - 04.01.2024 18:00,04.01.2024 17:00,0,n/e,n/e,n/e,n/e,n/e,176,n/e,n/e
04.01.2024 18:00 - 04.01.2024 19:00,04.01.2024 18:00,0,n/e,n/e,n/e,n/e,n/e,171,n/e,n/e
04.01.2024 19:00 - 04.01.2024 20:00,04.01.2024 19:00,0,n/e,n/e,n/e,n/e,n/e,165,n/e,n/e
04.01.2024 20:00 - 04.01.2024 21:00,04.01.2024 20:00,0,n/e,n/e,n/e,n/e,n/e,154,n/e,n/e
