MTU (UTC),DateTime,Generation - Solar [MW] Day Ahead/ BZN|EE,Generation - Solar [MW] Intraday / BZN|EE,Generation - Solar [MW] Current / BZN|EE,Generation - Wind Offshore [MW] Day Ahead/ BZN|EE,Generation - Wind Offshore [MW] Intraday / BZN|EE,Generation - Wind Offshore [MW] Current / BZN|EE,Generation - Wind Onshore [MW] Day Ahead/ BZN|EE,Generation - Wind Onshore [MW] Intraday / BZN|EE,Generation - Wind Onshore [MW] Current / BZN|EE
04.01.2024 21:00 - 04.01.2024 22:00,04.01.2024 21:00,0,n/e,n/e,n/e,n/e,n/e,154,n/e,n/e
04.01.2024 22:00 - 04.01.2024 23:00,04.01.2024 22:00,0,n/e,n/e,n/e,n/e,n/e,144,n/e,n/e
04.01.2024 23:00 - 05.01.2024 00:00,04.01.2024 23:00,0,n/e,n/e,n/e,n/e,n/e,148,n/e,n/e
05.01.2024 00:00 - 05.01.2024 01:00,05.01.2024 00:00,0,n/e,n/e,n/e,n/e,n/e,151,n/e,n/e
05.01.2024 01:00 - 05.01.2024 02:00,05.01.2024 01:00,0,n/e,n/e,n/e,n/e,n/e,147,n/e,n/e
05.01.2024 02:00 - 05.01.2024 03:00,05.01.2024 02:00,0,n/e,n/e,n/e,n/e,n/e,142,n/e,n/e
05.01.2024 03:00 - 05.01.2024 04:00,05.01.2024 03:00,0,n/e,n/e,n/e,n/e,n/e,129,n/e,n/e
05.01.2024 04:00 - 05.01.2024 05:00,05.01.2024 04:00,0,n/e,n/e,n/e,n/e,n/e,129,n/e,n/e
05.01.2024 05:00 - 05.01.2024 06:00,05.01.2024 05:00,0,n/e,n/e,n/e,n/e,n/e,123,n/e,n/e
05.01.2024 06:00 - 05.01.2024 07:00,05.01.2024 06:00,0,n/e,n/e,n/e,n/e,n/e,117,n/e,n/e
05.01.2024 07:00 - 05.01.2024 08:00,05.01.2024 07:00,0,n/e,n/e,n/e,n/e,n/e,109,n/e,n/e
05.01.2024 08:00 - 05.01.2024 09:00,05.01.2024 08:00,2,n/e,n/e,n/e,n/e,n/e,101,n/e,n/e
05.01.2024 09:00 - 05.01.2024 10:00,05.01.2024 09:00,4,n/e,n/e,n/e,n/e,n/e,93,n/e,n/e
05.01.2024 10:00 - 05.01.2024 11:00,05.01.2024 10:00,4,n/e,n/e,n/e,n/e,n/e,82,n/e,n/e
05.01.2024 11:00 - 05.01.2024 12:00,05.01.2024 11:00,3,n/e,n/e,n/e,n/e,n/e,74,n/e,n/e
05.01.2024 12:00 - 05.01.2024 13:00,05.01.2024 12:00,2,n/e,n/e,n/e,n/e,n/e,69,n/e,n/e
05.01.2024 13:00 - 05.01.2024 14:00,05.01.2024 13:00,0,n/e,n/e,n/e,n/e,n/e,64,n/e,n/e
05.01.2024 14:00 - 05.01.2024 15:00,05.01.2024 14:00,0,n/e,n/e,n/e,n/e,n/e,60,n/e,n/e
05.01.2024 15:00 - 05.01.2024 16:00,05.01.2024 15:00,0,n/e,n/e,n/e,n/e,n/e,54,n/e,n/e
05.01.2024 16:00 - 05.01.2024 17:00,05.01.2024 16:00,0,n/e,n/e,n/e,n/e,n/e,50,n/e,n/e
05.01.2024 17:00 - 05.01.2024 18:00,05.01.2024 17:00,0,n/e,n/e,n/e,n/e,n/e,46,n/e,n/e
05.01.2024 18:00 - 05.01.2024 19:00,05.01.2024 18:00,0,n/e,n/e,n/e,n/e,n/e,44,n/e,n/e
05.01.2024 19:00 - 05.01.2024 20:00,05.01.2024 19:00,0,n/e,n/e,n/e,n/e,n/e,41,n/e,n/e
05.01.2024 20:00 - 05.01.2024 21:00,05.01.2024 20:00,0,n/e,n/e,n/e,n/e,n/e,37,n/e,n/e
05.01.2024 21:00 - 05.01.2024 22:00,05.01.2024 21:00,0,n/e,n/e,n/e,n/e,n/e,34,n/e,n/e
05.01.2024 22:00 - 05.01.2024 23:00,05.01.2024 22:00,0,n/e,n/e,n/e,n/e,n/e,23,n/e,n/e
05.01.2024 23:00 - 06.01.2024 00:00,05.01.2024 23:00,0,n/e,n/e,n/e,n/e,n/e,19,n/e,n/e
06.01.2024 00:00 - 06.01.2024 01:00,06.01.2024 00:00,0,n/e,n/e,n/e,n/e,n/e,18,n/e,n/e
06.01.2024 01:00 - 06.01.2024 02:00,06.01.2024 01:00,0,n/e,n/e,n/e,n/e,n/e,17,n/e,n/e
06.01.2024 02:00 - 06.01.2024 03:00,06.01.2024 02:00,0,n/e,n/e,n/e,n/e,n/e,16,n/e,n/e
06.01.2024 03:00 - 06.01.2024 04:00,06.01.2024 03:00,0,n/e,n/e,n/e,n/e,n/e,15,n/e,n/e
06.01.2024 04:00 - 06.01.2024 05:00,06.01.2024 04:00,0,n/e,n/e,n/e,n/e,n/e,14,n/e,n/e
06.01.2024 05:00 - 06.01.2024 06:00,06.01.2024 05:00,0,n/e,n/e,n/e,n/e,n/e,14,n/e,n/e
06.01.2024 06:00 - 06.01.2024 07:00,06.01.2024 06:00,0,n/e,n/e,n/e,n/e,n/e,14,n/e,n/e
06.01.2024 07:00 - 06.01.2024 08:00,06.01.2024 07:00,1,n/e,n/e,n/e,n/e,n/e,14,n/e,n/e
06.01.2024 08:00 - 06.01.2024 09:00,06.01.2024 08:00,3,n/e,n/e,n/e,n/e,n/e,14,n/e,n/e
06.01.2024 09:00 - 06.01.2024 10:00,06.01.2024 09:00,6,n/e,n/e,n/e,n/e,n/e,14,n/e,n/e
06.01.2024 10:00 - 06.01.2024 11:00,06.01.2024 10:00,8,n/e,n/e,n/e,n/e,n/e,14,n/e,n/e
06.01.2024 11:00 - 06.01.2024 12:00,06.01.2024 11:00,6,n/e,n/e,n/e,n/e,n/e,15,n/e,n/e
06.01.2024 12:00 - 06.01.2024 13:00,06.01.2024 12:00,4,n/e,n/e,n/e,n/e,n/e,16,n/e,n/e
06.01.2024 13:00 - 06.01.2024 14:00,06.01.2024 13:00,1,n/e,n/e,n/e,n/e,n/e,17,n/e,n/e
06.01.2024 14:00 - 06.01.2024 15:00,06.01.2024 14:00,0,n/e,n/e,n/e,n/e,n/e,19,n/e,n/e
06.01.2024 15:00 - 06.01.2024 16:00,06.01.2024 15:00,0,n/e,n/e,n/e,n/e,n/e,20,n/e,n/e
06.01.2024 16:00 - 06.01.2024 17:00,06.01.2024 16:00,0,n/e,n/e,n/e,n/e,n/e,20,n/e,n/e
06.01.2024 17:00 - 06.01.2024 18:00,06.01.2024 17:00,0,n/e,n/e,n/e,n/e,n/e,20,n/e,n/e
06.01.2024 18:00 - 06.01.2024 19:00,06.01.2024 18:00,0,n/e,n/e,n/e,n/e,n/e,18,n/e,n/e
06.01.2024 19:00 - 06.01.2024 20:00,06.01.2024 19:00,0,n/e,n/e,n/e,n/e,n/e,18,n/e,n/e
06.01.2024 20:00 - 06.01.2024 21:00,06.01.2024 20:00,0,n/e,n/e,n/e,n/e,n/e,17,n/e,n/e
06.01.2024 21:00 - 06.01.2024 22:00,06.01.2024 21:00,0,n/e,n/e,n/e,n/e,n/e,16,n/e,n/e
06.01.2024 22:00 - 06.01.2024 23:00,06.01.2024 22:00,0,n/e,n/e,n/e,n/e,n/e,14,n/e,n/e
06.01.2024 23:00 - 07.01.2024 00:00,06.01.2024 23:00,0,n/e,n/e,n/e,n/e,n/e,26,n/e,n/e
07.01.2024 00:00 - 07.01.2024 01:00,07.01.2024 00:00,0,n/e,n/e,n/e,n/e,n/e,20,n/e,n/e
07.01.2024 01:00 - 07.01.2024 02:00,07.01.2024 01:00,0,n/e,n/e,n/e,n/e,n/e,16,n/e,n/e
07.01.2024 02:00 - 07.01.2024 03:00,07.01.2024 02:00,0,n/e,n/e,n/e,n/e,n/e,12,n/e,n/e
07.01.2024 03:00 - 07.01.2024 04:00,07.01.2024 03:00,0,n/e,n/e,n/e,n/e,n/e,11,n/e,n/e
07.01.2024 04:00 - 07.01.2024 05:00,07.01.2024 04:00,0,n/e,n/e,n/e,n/e,n/e,11,n/e,n/e
07.01.2024 05:00 - 07.01.2024 06:00,07.01.2024 05:00,0,n/e,n/e,n/e,n/e,n/e,14,n/e,n/e
07.01.2024 06:00 - 07.01.2024 07:00,07.01.2024 06:00,0,n/e,n/e,n/e,n/e,n/e,12,n/e,n/e
07.01.2024 07:00 - 07.01.2024 08:00,07.01.2024 07:00,1,n/e,n/e,n/e,n/e,n/e,9,n/e,n/e
07.01.2024 08:00 - 07.01.2024 09:00,07.01.2024 08:00,4,n/e,n/e,n/e,n/e,n/e,7,n/e,n/e
07.01.2024 09:00 - 07.01.2024 10:00,07.01.2024 09:00,8,n/e,n/e,n/e,n/e,n/e,6,n/e,n/e
07.01.2024 10:00 - 07.01.2024 11:00,07.01.2024 10:00,8,n/e,n/e,n/e,n/e,n/e,6,n/e,n/e
07.01.2024 11:00 - 07.01.2024 12:00,07.01.2024 11:00,6,n/e,n/e,n/e,n/e,n/e,6,n/e,n/e
07.01.2024 12:00 - 07.01.2024 13:00,07.01.2024 12:00,3,n/e,n/e,n/e,n/e,n/e,5,n/e,n/e
07.01.2024 13:00 - 07.01.2024 14:00,07.01.2024 13:00,1,n/e,n/e,n/e,n/e,n/e,5,n/e,n/e
07.01.2024 14:00 - 07.01.2024 15:00,07.01.2024 14:00,0,n/e,n/e,n/e,n/e,n/e,5,n/e,n/e
07.01.2024 15:00 - 07.01.2024 16:00,07.01.2024 15:00,0,n/e,n/e,n/e,n/e,n/e,5,n/e,n/e
07.01.2024 16:00 - 07.01.2024 17:00,07.01.2024 16:00,0,n/e,n/e,n/e,n/e,n/e,5,n/e,n/e
07.01.2024 17:00 - 07.01.2024 18:00,07.01.2024 17:00,0,n/e,n/e,n/e,n/e,n/e,5,n/e,n/e
07.01.2024 18:00 - 07.01.2024 19:00,07.01.2024 18:00,0,n/e,n/e,n/e,n/e,n/e,5,n/e,n/e
07.01.2024 19:00 - 07.01.2024 20:00,07.01.2024 19:00,0,n/e,n/e,n/e,n/e,n/e,8,n/e,n/e
07.01.2024 20:00 - 07.01.2024 21:00,07.01.2024 20:00,0,n/e,n/e,n/e,n/e,n/e,13,n/e,n/e
07.01.2024 21:00 - 07.01.2024 22:00,07.01.2024 21:00,0,n/e,n/e,n/e,n/e,n/e,21,n/e,n/e
07.01.2024 22:00 - 07.01.2024 23:00,07.01.2024 22:00,0,n/e,n/e,n/e,n/e,n/e,31,n/e,n/e
07.01.2024 23:00 - 08.01.2024 00:00,07.01.2024 23:00,0,n/e,n/e,n/e,n/e,n/e,61,n/e,n/e
08.01.2024 00:00 - 08.01.2024 01:00,08.01.2024 00:00,0,n/e,n/e,n/e,n/e,n/e,79,n/e,n/e
08.01.2024 01:00 - 08.01.2024 02:00,08.01.2024 01:00,0,n/e,n/e,n/e,n/e,n/e,89,n/e,n/e
08.01.2024 02:00 - 08.01.2024 03:00,08.01.2024 02:00,0,n/e,n/e,n/e,n/e,n/e,104,n/e,n/e
08.01.2024 03:00 - 08.01.2024 04:00,08.01.2024 03:00,0,n/e,n/e,n/e,n/e,n/e,122,n/e,n/e
08.01.2024 04:00 - 08.01.2024 05:00,08.01.2024 04:00,0,n/e,n/e,n/e,n/e,n/e,139,n/e,n/e
08.01.2024 05:00 - 08.01.2024 06:00,08.01.2024 05:00,0,n/e,n/e,n/e,n/e,n/e,155,n/e,n/e
08.01.2024 06:00 - 08.01.2024 07:00,08.01.2024 06:00,0,n/e,n/e,n/e,n/e,n/e,166,n/e,n/e
08.01.2024 07:00 - 08.01.2024 08:00,08.01.2024 07:00,1,n/e,n/e,n/e,n/e,n/e,175,n/e,n/e
08.01.2024 08:00 - 08.01.2024 09:00,08.01.2024 08:00,2,n/e,n/e,n/e,n/e,n/e,181,n/e,n/e
08.01.2024 09:00 - 08.01.2024 10:00,08.01.2024 09:00,3,n/e,n/e,n/e,n/e,n/e,177,n/e,n/e
08.01.2024 10:00 - 08.01.2024 11:00,08.01.2024 10:00,4,n/e,n/e,n/e,n/e,n/e,167,n/e,n/e
08.01.2024 11:00 - 08.01.2024 12:00,08.01.2024 11:00,3,n/e,n/e,n/e,n/e,n/e,150,n/e,n/e
08.01.2024 12:00 - 08.01.2024 13:00,08.01.2024 12:00,2,n/e,n/e,n/e,n/e,n/e,128,n/e,n/e
08.01.2024 13:00 - 08.01.2024 14:00,08.01.2024 13:00,1,n/e,n/e,n/e,n/e,n/e,103,n/e,n/e
08.01.2024 14:00 - 08.01.2024 15:00,08.01.2024 14:00,0,n/e,n/e,n/e,n/e,n/e,83,n/e,n/e
08.01.2024 15:00 - 08.01.2024 16:00,08.01.2024 15:00,0,n/e,n/e,n/e,n/e,n/e,69,n/e,n/e
08.01.2024 16:00 - 08.01.2024 17:00,08.01.2024 16:00,0,n/e,n/e,n/e,n/e,n/e,63,n/e,n/e
08.01.2024 17:00 - 08.01.2024 18:00,08.01.2024 17:00,0,n/e,n/e,n/e,n/e,n/e,58,n/e,n/e
08.01.2024 18:00 - 08.01.2024 19:00,08.01.2024 18:00,0,n/e,n/e,n/e,n/e,n/e,55,n/e,n/e
08.01.2024 19:00 - 08.01.2024 20:00,08.01.2024 19:00,0,n/e,n/e,n/e,n/e,n/e,51,n/e,n/e
08.01.2024 20:00 - 08.01.2024 21:00,08.01.2024 20:00,0,n/e,n/e,n/e,n/e,n/e,49,n/e,n/e
08.01.2024 21:00 - 08.01.2024 22:00,08.01.2024 21:00,0,n/e,n/e,n/e,n/e,n/e,51,n/e,n/e
08.01.2024 22:00 - 08.01.2024 23:00,08.01.2024 22:00,0,n/e,n/e,n/e,n/e,n/e,57,n/e,n/e
08.01.2024 23:00 - 09.01.2024 00:00,08.01.2024 23:00,0,n/e,n/e,n/e,n/e,n/e,83,n/e,n/e
09.01.2024 00:00 - 09.01.2024 01:00,09.01.2024 00:00,0,n/e,n/e,n/e,n/e,n/e,102,n/e,n/e
09.01.2024 01:00 - 09.01.2024 02:00,09.01.2024 01:00,0,n/e,n/e,n/e,n/e,n/e,115,n/e,n/e
09.01.2024 02:00 - 09.01.2024 03:00,09.01.2024 02:00,0,n/e,n/e,n/e,n/e,n/e,127,n/e,n/e
09.01.2024 03:00 - 09.01.2024 04:00,09.01.2024 03:00,0,n/e,n/e,n/e,n/e,n/e,138,n/e,n/e
09.01.2024 04:00 - 09.01.2024 05:00,09.01.2024 04:00,0,n/e,n/e,n/e,n/e,n/e,146,n/e,n/e
09.01.2024 05:00 - 09.01.2024 06:00,09.01.2024 05:00,0,n/e,n/e,n/e,n/e,n/e,154,n/e,n/e
09.01.2024 06:00 - 09.01.2024 07:00,09.01.2024 06:00,0,n/e,n/e,n/e,n/e,n/e,160,n/e,n/e
09.01.2024 07:00 - 09.01.2024 08:00,09.01.2024 07:00,1,n/e,n/e,n/e,n/e,n/e,171,n/e,n/e
09.01.2024 08:00 - 09.01.2024 09:00,09.01.2024 08:00,3,n/e,n/e,n/e,n/e,n/e,183,n/e,n/e
